"`base_repo_id`","`pull_reqs_last_month`"
"63","3"
"127","10"
"142","1"
"310","4"
"312","18"
"340","9"
"418","20"
"489","4"
"608","1"
"613","7"
"657","2"
"687","12"
"714","1"
"750","91"
"772","7"
"774","1"
"807","18"
"847","15"
"852","1"
"853","20"
"860","15"
"937","1"
"961","21"
"1008","2"
"1142","81"
"1282","5"
"1299","22"
"1301","2"
"1334","39"
"1523","4"
"1799","1"
"1957","2"
"1958","8"
"1965","17"
"2093","9"
"2244","1"
"2281","1"
"2309","1"
"2713","2"
"2719","7"
"2812","3"
"2863","8"
"2919","1"
"3083","4"
"3450","4"
"3479","5"
"3671","2"
"3923","22"
"3932","5"
"4023","11"
"4068","6"
"4095","23"
"4114","1"
"4573","1"
"4751","5"
"4765","1"
"4779","3"
"5125","3"
"5138","1"
"5184","1"
"5210","26"
"5245","2"
"5378","2"
"5400","3"
"5516","19"
"5520","236"
"5556","5"
"5591","3"
"5626","6"
"5640","2"
"6026","15"
"6413","10"
"6468","2"
"6584","1"
"6966","2"
"6994","1"
"7347","3"
"7511","17"
"7537","11"
"7588","7"
"7608","6"
"7894","1"
"8127","7"
"8466","2"
"8612","1"
"8676","1"
"9126","2"
"9241","7"
"9354","1"
"9427","17"
"9615","7"
"9793","17"
"9807","7"
"10083","1"
"10182","1"
"10252","58"
"10384","7"
"10646","1"
"11379","7"
"11602","4"
"11638","6"
"11644","1"
"12031","1"
"12106","23"
"12132","1"
"12258","5"
"12333","1"
"12455","1"
"12747","7"
"12841","8"
"13001","1"
"13021","2"
"13116","5"
"13718","2"
"13860","6"
"13915","4"
"14642","6"
"14901","1"
"15806","1"
"15985","3"
"16166","1"
"16282","3"
"16719","6"
"17032","5"
"17042","1"
"17345","2"
"17589","1"
"17635","14"
"17735","2"
"17919","2"
"18170","1"
"18217","18"
"18260","2"
"18716","5"
"19428","9"
"19443","2"
"19844","1"
"19849","3"
"20429","6"
"20768","1"
"20786","3"
"20796","26"
"20849","7"
"21276","2"
"21597","6"
"21703","7"
"21750","1"
"22056","1"
"22616","3"
"22841","11"
"22964","1"
"23052","10"
"23280","1"
"23623","4"
"23710","6"
"24397","2"
"24423","6"
"24741","2"
"25156","7"
"25822","2"
"26591","2"
"27142","8"
"27329","17"
"27693","1"
"27716","1"
"27986","1"
"28021","1"
"28304","1"
"29465","7"
"30491","1"
"31779","1"
"33145","2"
"33958","9"
"34627","1"
"35378","5"
"35649","5"
"35846","1"
"36005","1"
"37843","3"
"38896","3"
"40080","3"
"40428","4"
"40833","4"
"41127","1"
"41180","1"
"41728","2"
"42335","9"
"42447","1"
"42750","1"
"42812","12"
"42952","5"
"43173","1"
"43875","3"
"45316","2"
"45614","12"
"46214","1"
"48706","9"
"48764","4"
"48805","2"
"49649","1"
"49956","2"
"50013","1"
"52612","1"
"55219","2"
"56043","1"
"56551","2"
"58827","1"
"58896","3"
"59344","1"
"59350","1"
"59490","1"
"59519","2"
"60101","1"
"60686","10"
"61798","1"
"66033","1"
"66175","1"
"67190","2"
"67424","2"
"67522","7"
"67633","6"
"67640","3"
"67874","13"
"68102","3"
"68610","3"
"69357","1"
"70480","13"
"70634","1"
"71334","4"
"71374","2"
"73635","3"
"74063","3"
"75605","1"
"75812","2"
"75832","3"
"84891","1"
"84985","3"
"86589","1"
"90565","1"
"91064","1"
"92535","25"
"95180","5"
"97464","2"
"103713","1"
"105762","2"
"107052","1"
"118301","12"
"123745","1"
"125696","1"
"128840","1"
"130401","1"
"132590","2"
"136544","1"
"137510","1"
"140647","1"
"142225","1"
"149646","1"
"150631","1"
"153944","4"
"156467","2"
"165427","1"
"169932","2"
"178035","1"
"185366","2"
"188939","3"
"192534","1"
"196147","1"
"206096","1"
"209250","2"
"211549","8"
"213856","2"
"218181","7"
"223846","1"
"231370","1"
"232089","2"
"232705","1"
"234674","1"
"252680","2"
"256086","4"
"261125","1"
"288440","4"
"292891","2"
"295815","3"
"309466","5"
"324846","1"
"326632","24"
"333984","1"
"352633","1"
"359432","1"
"407274","3"
"456655","1"
"458061","1"
"483343","5"
"489159","1"
"513279","1"
"517631","2"
"546037","1"
"614053","3"
"643805","3"
"718075","1"
"777221","2"
"801441","6"
"805498","1"
"825924","1"
"896266","2"
"914064","1"
"930566","3"
"931243","5"
"956098","10"
"1028405","7"
"1042189","2"
"1292559","5"
"1344612","1"
"1347553","52"
"1350393","7"
"1358732","1"
"1361512","4"
"1366147","18"
"1381021","1"
"1397979","2"
"1433342","1"
"1442914","1"
"1448496","6"
"1503167","9"
"1504740","1"
"1545591","15"
"1611658","1"
"1711636","5"
"1756850","2"
"1803672","13"
"1880515","1"
"1912872","10"
"1922523","3"
"1931310","3"
"1967265","1"
"1989677","21"
"2264276","2"
"2291113","7"
"2294498","20"
"2367064","2"
"2369446","11"
"2488944","6"
"2565868","3"
"2892743","1"
"2909103","3"
"3052226","2"
"3055228","1"
"3056066","9"
"3056652","11"
"3074577","2"
"3105682","4"
"3110119","2"
"3213962","5"
"3216686","6"
"3218707","5"
"3219077","18"
"3219349","6"
"3219543","5"
"3263294","1"
"3411412","20"
"3411703","1"
"3604984","3"
"3644351","4"
"3825551","4"
"3929150","6"
"3963440","2"
"4042784","2"
"4616106","4"
